date,city_code,company,CLIFE_revenue_(in 10 million dollars),arpu,active_users_(hundred thousand),unsubscribed_users_(hundred thousand)
01-Jan-22,400001,CLIFE,60.69,192,31.61,1.90
01-Jan-22,110001,CLIFE,42.71,175,24.41,1.31
01-Jan-22,700001,CLIFE,36.91,175,21.09,1.25
01-Jan-22,560001,CLIFE,37.4,175,21.37,1.39
01-Jan-22,600001,CLIFE,30.8,203,15.17,1.12
01-Jan-22,500001,CLIFE,28.25,183,15.44,0.78
01-Jan-22,411001,CLIFE,24.22,200,12.11,1.08
01-Jan-22,380001,CLIFE,20.97,165,12.71,0.62
01-Jan-22,302001,CLIFE,22.21,189,11.75,0.52
01-Jan-22,226001,CLIFE,11.86,198,5.99,0.45
01-Jan-22,800008,CLIFE,14.59,188,7.76,0.39
01-Jan-22,641001,CLIFE,7.82,212,3.69,0.28
01-Jan-22,160017,CLIFE,6.35,185,3.43,0.17
01-Jan-22,122001,CLIFE,5.32,181,2.94,0.25
01-Jan-22,492001,CLIFE,4.27,191,2.24,0.16
01-Feb-22,400001,CLIFE,61.19,169,36.21,2.71
01-Feb-22,110001,CLIFE,54.18,189,28.67,1.85
01-Feb-22,700001,CLIFE,39.48,175,22.56,1.75
01-Feb-22,560001,CLIFE,47.06,189,24.90,1.22
01-Feb-22,600001,CLIFE,55.9,206,27.14,1.68
01-Feb-22,500001,CLIFE,34.47,193,17.86,1.13
01-Feb-22,411001,CLIFE,28.66,190,15.08,0.72
01-Feb-22,380001,CLIFE,20.63,171,12.06,0.74
01-Feb-22,302001,CLIFE,15.67,199,7.87,0.55
01-Feb-22,226001,CLIFE,24.77,210,11.80,0.55
01-Feb-22,800008,CLIFE,11.72,208,5.63,0.32
01-Feb-22,641001,CLIFE,11.94,170,7.02,0.41
01-Feb-22,160017,CLIFE,6.34,162,3.91,0.17
01-Feb-22,122001,CLIFE,9.45,187,5.05,0.27
01-Feb-22,492001,CLIFE,4.23,168,2.52,0.16
01-Mar-22,400001,CLIFE,57.28,213,26.89,2.33
01-Mar-22,110001,CLIFE,48.98,171,28.64,2.52
01-Mar-22,700001,CLIFE,67.31,187,35.99,2.20
01-Mar-22,560001,CLIFE,41.87,166,25.22,1.59
01-Mar-22,600001,CLIFE,30.5,211,14.45,0.91
01-Mar-22,500001,CLIFE,27.95,211,13.25,0.78
